MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Mriganka Mahato,Elected,18-May-14,In office,First,Defence,West Bengal,Purulia,All India Trinamool Congress,Male,Professional Graduate,"M.B.B.S., D.O.",54,1,0,8,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Mukesh Rajput,Elected,18-May-14,In office,First,Agriculture,Uttar Pradesh,Farrukhabad,Bharatiya Janata Party,Male,Graduate,B.Sc.,48,37,0,26,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Mulayam Singh Yadav,Elected,18-May-14,In office,Sixth,Labour ,Uttar Pradesh,Azamgarh,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",77,35,0,0,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Munisamy Thambidurai,Elected,18-May-14,In office,Fifth,No,Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",70,23,0,13,58%,"He was appointed Deputy Speaker in August 2014.  As a Deputy Speaker, this MP does not sign the attendance register  His attendance is available till August 13, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",45.3,1.4,180,81%,34.1,0,262,82%
Murali Mohan Maganti,Elected,18-May-14,In office,First,Water Resources ,Andhra Pradesh,Rajahmundry,Telugu Desam Party,Male,Inter/ Higher Secondary,Inter/Higher Secondary,76,41,1,147,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Murli Manohar Joshi,Elected,18-May-14,In office,Sixth,Defence,Uttar Pradesh,Kanpur,Bharatiya Janata Party,Male,Doctorate,"M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",83,0,0,0,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Muttamsetti Srinivasa Rao (Avanthi),Elected,18-May-14,In office,First,Industry,Andhra Pradesh,Anakapalli,Telugu Desam Party,Male,Inter/ Higher Secondary,Higher Secondary (B.Com.),49,55,0,236,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Muzaffar Hussain Baig,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Jammu and Kashmir,Baramulla,Jammu and Kashmir Peoples Democratic Party,Male,Post Graduate,Masters from Harvard Law School,70,2,0,13,10%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,19.1,0,46,51%
N.K.Premachandran,Elected,18-May-14,In office,Third,Human Resource Development,Kerala,Kollam,Revolutionary Socialist Party,Male,Professional Graduate,"B.Sc, L.L.B",56,180,0,318,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
Naba Kumar Sarania (Hira),Elected,18-May-14,In office,First,Labour ,Assam,Kokrajhar,Independent,Male,Inter/ Higher Secondary,Higher Secondary,47,11,0,41,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Nagendra Kumar Pradhan,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Odisha,Sambalpur,Biju Janata Dal,Male,Professional Graduate,B.A. (Hons.) LL.B,64,37,1,462,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Nagendra Singh,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Graduate,B.Com.,74,5,0,0,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Nalin Kumar Kateel,Elected,18-May-14,In office,Second,Agriculture,Karnataka,Dakshina Kannada,Bharatiya Janata Party,Male,Matric,"Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",50,33,0,441,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Nanabhau Falgunrao Patole,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Maharashtra,Bhandara-Gondiya,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,54,83,1,301,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Nandkumar Singh Chouhan (Nandu Bhaiya),Elected,18-May-14,In office,Fifth,Health and Family Welfare,Madhya Pradesh,Khandwa,Bharatiya Janata Party,Male,Graduate,"B.A.
Educated at Seva Sadan Mahavidyalaya, Burhanpur",64,5,0,0,59%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Naramalli Sivaprasad,Elected,18-May-14,In office,Second,Rural Development ,Andhra Pradesh,Chittoor,Telugu Desam Party,Male,Professional Graduate,"M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",65,0,0,30,37%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Naranbhai Kachhadia,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Gujarat,Amreli,Bharatiya Janata Party,Male,Under Matric,"Educated at Charkhadiya, Govt. of Primary School",61,74,0,457,89%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Narendra Keshav Sawaikar,Elected,18-May-14,In office,First,Commerce,Goa,South Goa,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",50,11,0,233,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,11,0,233,87%
Narendra Modi,Elected,18-May-14,In office,First,No,Uttar Pradesh,Varanasi,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Narendra Singh Tomar,Elected,18-May-14,In office,Second,No,Madhya Pradesh,Gwalior,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",59,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Natubhai Gomanbhai Patel,Elected,18-May-14,In office,Second,Home Affairs,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Bharatiya Janata Party,Male,Under Matric,,44,0,0,35,64%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,0,0,35,64%
Neelam Sonkar,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Lalganj,Bharatiya Janata Party,Female,Post Graduate,M.A.,44,37,0,230,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Neiphiu Rio,Elected,18-May-14,In office,First,Agriculture,Nagaland,Nagaland,Nagaland Peoples Front,Male,Graduate,B.A,66,13,0,17,64%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,13,0,17,64%
Nepal Singh,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Rampur,Bharatiya Janata Party,Male,Doctorate,"M.Sc., Ph.D.",76,18,0,38,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Nihalchand,Elected,18-May-14,In office,Third,Human Resource Development,Rajasthan,Ganganagar,Bharatiya Janata Party,Male,Graduate,"B.A. 
Educated at Rai Singh Nagar (Ajmer University)",46,4,0,44,94%,"This MP was a minister till 4 Jul, 2016. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance deta (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",10.3,0.4,44,81%,15.8,0.6,52,89%
Ninong Ering,Elected,18-May-14,In office,Second,"Science & Technology, Environment & Forests",Arunachal Pradesh,Arunachal East,Indian National Congress,Male,Graduate,"B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",58,37,2,193,71%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,37,2,193,71%
Niranjan Jyoti,Elected,18-May-14,In office,First,No,Uttar Pradesh,Fatehpur,Bharatiya Janata Party,Female,Inter/ Higher Secondary,Intermediate,50,18,0,1,100%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,5.6,0.1,8,88%
Nishikant Dubey,Elected,18-May-14,In office,Second,Finance,Jharkhand,Godda,Bharatiya Janata Party,Male,Professional Post Graduate,"B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",48,215,29,456,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,55.2,3.7,263,84%
Nitin Jairam Gadkari,Elected,18-May-14,In office,First,No,Maharashtra,Nagpur,Bharatiya Janata Party,Male,Post Graduate,"M.Com., LL.B. and Diploma in Business Management",59,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nityanand Rai,Elected,18-May-14,In office,First,Agriculture,Bihar,Ujiarpur,Bharatiya Janata Party,Male,Graduate,B.A. (Hons),51,5,0,141,66%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Om Birla,Elected,18-May-14,In office,First,Energy,Rajasthan,Kota,Bharatiya Janata Party,Male,Post Graduate,M.Com,54,82,3,478,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Om Prakash Yadav,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Bihar,Siwan,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at D.A.V. College, Siwan, Bihar",54,30,18,241,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
P. C. Mohan,Elected,18-May-14,In office,Second,Urban Development,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Educated at Vijiya College,53,17,0,223,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
P. K. Biju,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Kerala,Alathur,Communist Party of India (Marxist),Male,Post Graduate,"M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",42,205,0,375,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
P. Karunakaran,Elected,18-May-14,In office,Third,Information Technology,Kerala,Kasaragod,Communist Party of India (Marxist),Male,Post Graduate,"M.A.; Educated at M.A. College, Kothamangalam",71,144,9,245,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
P. Kumar,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",45,33,0,327,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
P. Nagarajan,Elected,18-May-14,In office,First,Home Affairs,Tamil Nadu,Coimbatore,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.A., B.L.",55,23,0,368,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
P. Radhakrishnan,Elected,18-May-14,In office,Second,No,Tamil Nadu,Kanniyakumari,Bharatiya Janata Party,Male,Professional Graduate,"B.A., B.L.; Educated at D.V.D.H. School, Nagercoil, V.H.N.S.N. College, Virudhu Nagar and Madras Law College, Chennai (Tamil Nadu)",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P. Venugopal,Elected,18-May-14,In office,Second,Rural Development ,Tamil Nadu,Tiruvallur,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",64,56,0,449,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
P.C. Gaddigoudar,Elected,18-May-14,In office,Third,Finance,Karnataka,Bagalkot,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",65,7,0,87,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
P.K. Sreemathi Teacher,Elected,18-May-14,In office,First,Human Resource Development,Kerala,Kannur,Communist Party of India (Marxist),Female,others,Pre-Degree,67,105,0,323,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
P.P. Chaudhary,Elected,18-May-14,In office,First,No,Rajasthan,Pali,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., L.L.B, studied at Jai Narayan Vyas University, Jodhpur (Rajasthan)",63,358,18,394,98%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,85.4,2.4,202,89%
P.P. Mohammed Faizal,Elected,18-May-14,In office,First,Home Affairs,Lakshadweep,Lakshadweep,Nationalist Congress Party,Male,Professional Post Graduate,M.B.A.,41,29,0,250,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,29,0,250,79%
P.R. Senthilnathan,Elected,18-May-14,In office,First,External Affairs,Tamil Nadu,Sivaganga,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.Sc., LL.B",49,40,0,292,77%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
P.R. Sundaram,Elected,18-May-14,In office,First,Human Resource Development,Tamil Nadu,Namakkal,All India Anna Dravida Munnetra Kazhagam,Male,Under Graduate,Under Graduate,65,64,0,377,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
P.V. Midhun Reddy,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduate,MBA,39,17,0,121,55%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Pandula Ravindra Babu,Elected,18-May-14,In office,First,Petroleum & Natural Gas,Andhra Pradesh,Amalapuram,Telugu Desam Party,Male,Professional Graduate,M.B.B.S.,61,43,1,86,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Pankaj Chowdhary,Elected,18-May-14,In office,Fifth,"Chemicals & Fertilizers and Science & Technology, Environment & Forests",Uttar Pradesh,Maharajganj,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Gorakhpur University, Gorakhpur (Uttar Pradesh)",52,17,2,195,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Paresh Rawal,Elected,18-May-14,In office,First,Information Technology,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Graduate,B.Com.,61,7,0,100,71%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Partha Pratim Ray,Elected,25-Nov-16,In office,First,Defence,West Bengal,Cooch Behar,All India Trinamool Congress,Male,Post Graduate,"M.A. in English, B.ed from University of North Bengal Raja Rammohanpur Silguri, Darjeeling",35,0,0,0,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),3.5,0.2,19,81%,2.1,0.1,5,67%
Parvesh Sahib Singh Verma,Elected,18-May-14,In office,First,Urban Development,Delhi,West Delhi,Bharatiya Janata Party,Male,Professional Post Graduate,M.B.A.,39,9,2,85,99%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,43,6,178,93%
Pashupati Nath Singh,Elected,18-May-14,In office,Second,Coal & Steel,Jharkhand,Dhanbad,Bharatiya Janata Party,Male,Graduate,B.Sc.,67,30,0,132,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,55.2,3.7,263,84%
Pinaki Misra,Elected,18-May-14,In office,Third,Urban Development,Odisha,Puri,Biju Janata Dal,Male,Professional Graduate,"B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",57,7,0,178,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Ponguleti Srinivasa Reddy,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Telangana,Khammam,Yuvajana Sramika Rythu Congress Party,Male,Graduate,Graduate,51,31,0,284,67%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
Poonam Mahajan Alias Poonam Vajendla Rao,Elected,18-May-14,In office,First,No,Maharashtra,Mumbai-North-Central,Bharatiya Janata Party,Female,Graduate,"Graduate, Diploma Course",36,21,5,278,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Poonamben Hematbhai Maadam,Elected,18-May-14,In office,First,Industry,Gujarat,Jamnagar,Bharatiya Janata Party,Female,Graduate,Graduate,42,24,0,191,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Prabhas Kumar Singh,Elected,18-May-14,In office,First,Human Resource Development,Odisha,Bargarh,Biju Janata Dal,Male,Doctorate,"M.A., Ph.D.",52,38,0,81,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Prabhatsinh Pratapsinh Chauhan,Elected,18-May-14,In office,Second,"Science & Technology, Environment & Forests",Gujarat,Panchmahal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat",75,3,0,6,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Pradan Baruah,Elected,29-Nov-16,In office,First,Urban Development,Assam,Lakhimpur,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Mech. Engg. In 1985 from Dibrugarh Politechnic, Assam, Passed H.S.L.C. from SEBA in 1980 from Silapathar R.H.S. School",51,0,0,0,43%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),3.3,0.2,17,81%,2.6,0.2,10,74%
Prahlad Singh Patel,Elected,18-May-14,In office,Fourth,Rural Development ,Madhya Pradesh,Damoh,Bharatiya Janata Party,Male,Post Graduate,"B.Sc., LL.B., M.A. (Philosophy); Educated at Adarsh Vigyan Mahavidyalaya and U.T.D. Rani Durgawati University, Jabalpur (Madhya Pradesh)",56,129,6,287,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Prakash Babanna Hukkeri,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Karnataka,Chikkodi,Indian National Congress,Male,Inter/ Higher Secondary,SSLC,70,9,0,0,36%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Pralhad Venkatesh Joshi,Elected,18-May-14,In office,Third,"Petroleum & Natural Gas and Personnel, Public Grievances, Law and Justice",Karnataka,Dharwad,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.S. Arts College, Hubli",54,61,5,310,89%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Prasanna Kumar Patasani,Elected,18-May-14,In office,Fifth,Industry,Odisha,Bhubaneswar,Biju Janata Dal,Male,Doctorate,"M.A., LL.B., MSCI, Ph.D. (Honorary), D. Litt. (Utkal), D.Sc. (Swiss); Educated at Utkal University, Bhubaneswar (Orissa), Madhusudan Law College, Cuttack (Orissa), Maharshi Institute of Creative Intelligence, Rishikesh (Uttar Pradesh), Sheelsburg (Switzer",70,33,0,3,74%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Prasun Banerjee,Elected,18-May-14,In office,Second,Information Technology,West Bengal,Howrah,All India Trinamool Congress,Male,Graduate,B.Sc.,61,1,0,0,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Prathap Simha,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Karnataka,Mysore,Bharatiya Janata Party,Male,Post Graduate,Master in Communication and Journalism,40,7,0,451,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Pratima Mondal,Elected,18-May-14,In office,First,Petroleum & Natural Gas,West Bengal,Jaynagar,All India Trinamool Congress,Female,Post Graduate,"M.A., B.Ed.",51,44,0,11,73%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Pratyusha Rajeshwari Singh,Elected,19-Oct-14,In office,First,Defence,Odisha,Kandhamal,Biju Janata Dal,Female,Graduate,"B.A., Sophia Girls College, Ajmer, Rajasthan",45,10,0,73,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),40.2,1.3,162,81%,34.8,2.4,135,83%
Prem Das Rai,Elected,18-May-14,In office,Second,Finance,Sikkim,Sikkim,Sikkim Democratic Front,Male,Graduate,"B.Tech. (Chemical) and P.G.D.M.; Educated at IIT, Kanpur and IIM Ahmedabad, Gujarat",62,48,3,292,77%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,48,3,292,77%
Prem Singh Chandumajra,Elected,18-May-14,In office,Third,Home Affairs,Punjab,Anandpur Sahib,Shiromani Akali Dal,Male,Post Graduate,"M.A. (Economics), M.A. (Political Science)
Educated at P. B. University Patiala",67,114,0,272,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.6,0.5,79,66%
Pritam Gopinath Munde,Elected,19-Oct-14,In office,First,Energy,Maharashtra,Beed,Bharatiya Janata Party,Female,Professional Graduate,"MBBS, D.Y. Patil Institute, Navi Mumbai",34,26,0,96,66%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),40.2,1.3,162,81%,39.8,2.4,333,79%
Priyanka Singh Rawat,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Uttar Pradesh,Barabanki,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Mass Communication in Electronic Media in Journalism.",31,25,0,0,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
