MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Mansukhbhai D. Vasava,Elected,18-May-09,In office,Gujarat,Bharuch,Bharatiya Janata Party,Male,Post Graduate,"B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",56,48,0,802,78%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Marotrao Sainuji Kowase,Elected,18-May-09,In office,Maharashtra,Gadchiroli-Chimur,Indian National Congress,Male,Post Graduate,"M.A. (Political Science); Educated at Nagpur University, Maharashtra",64,16,0,471,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Mausam Noor,Elected,18-May-09,In office,West Bengal,Maldaha Uttar,Indian National Congress,Female,Graduate,LL.B.; Educated at Calcutta University,34,4,0,60,66%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Meena Singh,Elected,18-May-09,In office,Bihar,Arrah,Janata Dal (United),Female,Graduate,B.A.; Educated at Banaras Hindu University (B.H.U.) ,52,26,0,406,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Meenakshi Natrajan,Elected,18-May-09,In office,Madhya Pradesh,Mandsour,Indian National Congress,Female,Post Graduate,"M.Sc., (Biochemistry), LL.B.; Educated at Holkar Science College, GACC Indore, DAVV University",40,16,0,135,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Meira Kumar,Elected,18-May-09,In office,Bihar,Sasaram,Indian National Congress,Female,Post Graduate,"M.A., LL.B, Advanced Diploma in Spanish; Educated at Indraprastha College and Miranda House, University of Delhi (Delhi) and Madrid (Spain) ",68,N/A,N/A,N/A,N/A,"As Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mekapati Rajamohan Reddy,Elected,15-Jun-12,In office,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",69,5,0,240,52%,"This MP resigned on 28th Feb, 2012 and was re-elected on 15th Jun 2012. During his previous term he was affiliated with INC. (His participation is from 4th Jun, 2009 to 28th Feb, 2012 and 15th Jun, 2012 onwards.) (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",31.5,0.7,268,76%,17.4,0.4,306,68%
Milind Murli Deora,Elected,18-May-09,In office,Maharashtra,Mumbai-South,Indian National Congress,Male,Graduate,"BBA (Bachelor of Science in Business Administration); Educated at Sydenham College, Mumbai and Boston University, USA",37,0,0,274,88%,"This MP was appointed a minister in Jul, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th Mar, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",15.9,0.4,119,76%,12.1,0.8,200,74%
Mirza Mehboob Beg,Elected,18-May-09,In office,Jammu and Kashmir,Anantnag,Jammu and Kashmir National Conference,Male,Graduate,M.B.B.S.; Educated at Srinagar Medical College,64,58,0,27,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,44.4,0,96,88%
Mithlesh Kumar,Elected,18-May-09,In office,Uttar Pradesh,Shahjahanpur,Samajwadi Party,Male,Graduate,"B.Sc.; Educated at Bareli College, (Uttar Pradesh) ",49,21,0,154,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Modugula Venugopala Reddy,Elected,18-May-09,In office,Andhra Pradesh,Narasaraopet,Telugu Desam Party,Male,Graduate,"B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune",47,29,0,485,67%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Mohammed Azharuddin,Elected,18-May-09,In office,Uttar Pradesh,Moradabad,Indian National Congress,Male,Graduate,B.Com; Educated at Nizam College (Osmania University) ,51,2,0,5,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Mohan Jena,Elected,18-May-09,In office,Orissa,Jajpur,Biju Janata Dal,Male,Post Graduate,"M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa",56,28,2,49,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Mohinder Singh Kaypee,Elected,18-May-09,In office,Punjab,Jalandhar,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Punjab University, Chandigarh",57,10,0,4,90%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%
Monazir Hassan,Elected,18-May-09,In office,Bihar,Begusarai,Janata Dal (United),Male,Doctorate,"M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity",57,10,0,23,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Mukul Balkrishna Wasnik,Elected,18-May-09,In office,Maharashtra,Ramtek,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Mount Carmel Convent, SFS High School, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra",54,0,0,0,75%,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,7.5,0.5,146,74%
Mulayam Singh Yadav,Elected,18-May-09,In office,Uttar Pradesh,Mainpuri,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",74,117,0,0,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Munde Gopinathrao Pandurang,Elected,18-May-09,In office,Maharashtra,Beed,Bharatiya Janata Party,Male,Graduate,"B.Com., B.G.L.; Educated at Marathwada and Pune University",64,32,0,465,68%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Munisamy Thambidurai,Elected,18-May-09,In office,Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",66,102,0,370,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Murarilal Singh,Elected,18-May-09,12/3/2013,Chhattisgarh,Surguja,Bharatiya Janata Party,Male,Inter/ Higher Secondary,,61,5,0,91,66%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.5,0.8,281,76%,13.5,0.5,170,60%
Murli Manohar Joshi,Elected,18-May-09,In office,Uttar Pradesh,Varanasi,Bharatiya Janata Party,Male,Doctorate,"M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",80,29,0,577,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
N Cheluvaraya Swamy @ Swamygowda,Elected,18-May-09,5/21/2013,Karnataka,Mandya,Janata Dal (Secular),Male,Diploma Course,"Diploma in Civil Engineering; Educated at Govt. Polytechnic, K. R. Pette, Karnataka",53,18,0,835,55%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.6,0.8,265,76%,17.5,0.2,304,68%
N. Peethambara Kurup,Elected,18-May-09,In office,Kerala,Kollam,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Kerala University, Kerala",71,35,0,189,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
N.Dharam Singh,Elected,18-May-09,In office,Karnataka,Bidar,Indian National Congress,Male,Post Graduate,"MA, LL.B.; Educated at Osmania University, Hyderabad",77,4,0,50,69%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
N.S.V. Chitthan,Elected,18-May-09,In office,Tamil Nadu,Dindigul,Indian National Congress,Male,Graduate,"B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai",79,61,2,486,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Nalin Kumar Kateel,Elected,18-May-09,In office,Karnataka,Dakshina Kannada,Bharatiya Janata Party,Male,Matric,"Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",47,15,0,283,69%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Nama Nageswara Rao,Elected,18-May-09,In office,Andhra Pradesh,Khammam,Telugu Desam Party,Male,Inter/ Higher Secondary,,56,114,0,488,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Namo Narain Meena,Elected,18-May-09,In office,Rajasthan,Tonk-Sawai Madhopur,Indian National Congress,Male,Post Graduate,"M. A. (Geography); Educated at M.B. College, Udaipur, Rajasthan",70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Narahari Mahato,Elected,18-May-09,In office,West Bengal,Purulia,All India Forward Bloc,Male,Post Graduate,"B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand",57,53,0,650,71%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Naramalli Sivaprasad,Elected,18-May-09,In office,Andhra Pradesh,Chittoor,Telugu Desam Party,Male,Graduate,"M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",62,5,0,16,55%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Naranbhai Kachhadia,Elected,18-May-09,In office,Gujarat,Amreli,Bharatiya Janata Party,Male,Under Matric,"Educated at Charkhadiya, Govt. of Primary School",58,86,0,768,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Narayan Singh Amlabe,Elected,18-May-09,In office,Madhya Pradesh,Rajgarh,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Madhya Pradesh Board, Bhopal",62,70,0,133,90%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Narendra Singh Tomar,Elected,18-May-09,In office,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",56,10,0,215,60%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Natubhai Gomanbhai Patel,Elected,18-May-09,In office,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Bharatiya Janata Party,Male,Under Matric,,41,2,0,33,44%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,2,0,33,44%
Naveen Jindal,Elected,18-May-09,In office,Haryana,Kurukshetra,Indian National Congress,Male,Post Graduate,"MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi",43,20,0,516,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%
Navjot Singh Sidhu,Elected,18-May-09,In office,Punjab,Amritsar,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.",50,3,0,99,28%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%
Neeraj Shekhar,Elected,18-May-09,In office,Uttar Pradesh,Ballia,Samajwadi Party,Male,Graduate,B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College,45,33,0,820,93%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Nikhil Kumar Choudhary,Elected,18-May-09,In office,Bihar,Katihar,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Eductaed at T.N.B. College, Bhagalpur, Bihar",68,33,0,183,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Nilesh Narayan Rane,Elected,18-May-09,In office,Maharashtra,Ratnagiri-Sindhudurg,Indian National Congress,Male,Doctorate,"Ph.d; Educated at Mumbai University, Maharashtra",32,19,0,606,70%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Ninong Ering,Elected,18-May-09,In office,Arunachal Pradesh,Arunachal East,Indian National Congress,Male,Graduate,"B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",55,19,0,26,88%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,13.8,0,46,75%
Nirmal Khatri,Elected,18-May-09,In office,Uttar Pradesh,Faizabad,Indian National Congress,Male,Doctorate,"M.A. (Pol Sc.), LL.B., Ph.D.; Educated at K. S. Saket Post-Graduate College, Ayodhya, Faizabad; (Uttar Pradesh) ",63,37,0,24,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Nishikant Dubey,Elected,18-May-09,In office,Jharkhand,Godda,Bharatiya Janata Party,Male,Post Graduate,"B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",45,93,5,817,95%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%
Nityananda Pradhan,Elected,18-May-09,In office,Orissa,Aska,Biju Janata Dal,Male,Post Graduate,"M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur",69,7,0,682,67%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Nripendra Nath Roy,Elected,18-May-09,In office,West Bengal,Cooch Behar,All India Forward Bloc,Male,Graduate,"B.A.; Educated at Dinhata College, Distt-Coochbehar, West Bengal",54,53,0,636,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
O. S. Manian,Elected,18-May-09,In office,Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"P.U.C.; Educated at Kathir Mohaitheen College, Athirampattinam",59,52,0,60,70%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Om Prakash Yadav,Elected,18-May-09,In office,Bihar,Siwan,Independent,Male,Graduate,"B.Sc.; Educated at D.A.V. College, Siwan, Bihar",51,29,9,319,73%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
P. Balram,Elected,18-May-09,In office,Andhra Pradesh,Mahabubabad,Indian National Congress,Male,Graduate,"B.A.; Educated at Andhra University, Hyderabad",49,10,0,429,68%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,16,0.4,266,68%
P. C. Mohan,Elected,18-May-09,In office,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Educated at Vijiya College,50,5,0,252,70%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
P. Jaya Prada Nahata,Elected,18-May-09,In office,Uttar Pradesh,Rampur,Independent,Female,Graduate,"B.A.; Educated at Rajalakshmi Women`s College, Rajahmundry, East Godavari District (Andhra Pradesh) ",51,27,0,395,39%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
P. K. Biju,Elected,18-May-09,In office,Kerala,Alathur,Communist Party of India (Marxist),Male,Post Graduate,"M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",39,106,0,452,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
P. Karunakaran,Elected,18-May-09,In office,Kerala,Kasaragod,Communist Party of India (Marxist),Male,Post Graduate,"M.A.; Educated at M.A. College, Kothamangalam",68,99,0,595,76%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
P. Kumar,Elected,18-May-09,In office,Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",42,55,0,596,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
P. Lingam,Elected,18-May-09,In office,Tamil Nadu,Tenkasi,Communist Party of India,Male,Graduate,"B.A. (History); Educated at Madurai Kamarajar University, Madurai, Tamil Nadu",48,87,0,334,96%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
P. T. Thomas,Elected,18-May-09,In office,Kerala,Idukki,Indian National Congress,Male,Post Graduate,"M.A. (History), LL.B.; Educated at (i) St. Georges High School Parathode, Idukki; (ii) Mar Ivanios College Thiruvananthapuram; (iii) Newman College, Thodupuzha, Idukki; (iv) Maharajas College Ernakulam; (V) Government Law College, Kozhikode; and (vi) Gove",63,128,9,502,96%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
P. Venugopal,Elected,18-May-09,In office,Tamil Nadu,Tiruvallur,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",61,31,0,474,89%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
P. Viswanathan,Elected,18-May-09,In office,Tamil Nadu,Kancheepuram,Indian National Congress,Male,Graduate,"B.A. (Economics); Educated at Periyar Arts College, Cuddalore, Madras University, Tamil Nadu",49,38,0,658,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
P.C. Chacko,Elected,18-May-09,In office,Kerala,Thrissur,Indian National Congress,Male,Post Graduate,"B.Sc. (Geology), M.A. (Public Admn.); Educated at Mar Ivanios College and University College, Trivandrum, Madural Kamaraj University",67,24,0,28,90%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
P.C. Gaddigoudar,Elected,18-May-09,In office,Karnataka,Bagalkot,Bharatiya Janata Party,Male,Graduate,"B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",62,8,0,413,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
P.L. Punia,Elected,18-May-09,In office,Uttar Pradesh,Barabanki,Indian National Congress,Male,Doctorate,"M.A., Ph.D.; Educated at Punjab University, Chandigarh and Lucknow University, Lucknow, Uttar Pradesh",69,289,11,656,99%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
P.R. Natarajan,Elected,18-May-09,In office,Tamil Nadu,Coimbatore,Communist Party of India (Marxist),Male,Under Graduate,B.A (Incomplete); Educated at Madras University,63,34,0,432,89%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Paban Singh Ghatowar,Elected,18-May-09,In office,Assam,Dibrugarh,Indian National Congress,Male,Graduate,"B.A.; Educated at Gauhati University, Guwahati, Assam; Industrial Relations Training (U.K.), 1975",63,9,0,18,91%,"This MP was appointed a minister in Jul, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th Mar, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",15.9,0.4,119,76%,8.6,0.2,31,80%
Padamsinha Bajirao Patil,Elected,18-May-09,In office,Maharashtra,Osmanabad,Nationalist Congress Party,Male,Graduate,"M.B.B.S.; Educated B.J. Medical College, Pune, Maharashtra",73,3,0,237,61%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Pakauri Lal,Elected,18-May-09,In office,Uttar Pradesh,Robertsganj,Samajwadi Party,Male,Under Matric,,61,19,0,61,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Palaniappan Chidambaram,Elected,18-May-09,In office,Tamil Nadu,Sivaganga,Indian National Congress,Male,Post Graduate,"B.Sc., B.L., M.B.A.; Educated at Madras University, Chennai, Tamil Nadu and Harvard University, Boston, Massachusetts (U.S.A.) ",68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paramjit Kaur Gulshan,Elected,18-May-09,In office,Punjab,Faridkot,Shiromani Akali Dal,Female,Post Graduate,"M.A. (Economics), M.A. (Sociology), B. Ed.; Educated at Punjab University, Chandigarh and Guru Nanak Dev University, Amritsar (Punjab) ",65,29,0,129,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%
Partap Singh Bajwa,Elected,18-May-09,In office,Punjab,Gurdaspur,Indian National Congress,Male,Graduate,"B.A.; Educated at DAV College, Chandigarh, Punjab",57,37,1,359,82%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%
Pashupati Nath Singh,Elected,18-May-09,In office,Jharkhand,Dhanbad,Bharatiya Janata Party,Male,Graduate,B.Sc.,64,24,0,301,91%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%
Pawan Kumar Bansal,Elected,18-May-09,In office,Chandigarh,Chandigarh,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Yadavindra Public School, Patiala Government College, Chandigarh; and Department of Law, Panjab University, Chandigarh",65,0,0,26,86%,"This MP was a Minister. He tendered his resignation on 12th May, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 12th May, 2013.  (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",4.3,0,35,76%,0,0,26,86%
Pinaki Misra,Elected,18-May-09,In office,Orissa,Puri,Biju Janata Dal,Male,Graduate,"B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",54,17,0,19,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Poonamben Veljibhai Jat,Elected,18-May-09,In office,Gujarat,Kachchh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"Educated at Somaiya College, Mumbai",42,33,0,102,82%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Prabha Kishore Taviad,Elected,18-May-09,In office,Gujarat,Dahod,Indian National Congress,Female,Post Graduate,"M.D., D.G.O.; Educated at B.J. Medical College, Ahmedabad, Gujarat",59,26,0,4,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Prabhakar Ponnam,Elected,18-May-09,In office,Andhra Pradesh,Karimnagar,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Osmania University, Hyderabad, Andhra Pradesh",46,67,0,935,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Prabhatsinh Pratapsinh Chauhan,Elected,18-May-09,In office,Gujarat,Panchmahal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat",72,1,0,145,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Prabhunath Singh,Elected,5-Aug-13,In office,Bihar,Maharajganj,Rashtriya Janata Dal,Male,Inter/ Higher Secondary,I.S.C. (Pre-University),60,12,0,34,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.3,0,35,76%,5,0,39,87%
Prabodh Panda,Elected,18-May-09,In office,West Bengal,Medinipur,Communist Party of India,Male,Graduate,"B.A.; Educated at Dantan Bhattar College, Calcutta University, Dantan (West Bengal) ",68,148,1,585,90%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Pradeep Kumar Jain Aditya,Elected,18-May-09,In office,Uttar Pradesh,Jhansi,Indian National Congress,Male,Post Graduate,"M.A., M.Com., L.L.B.; Bundalkhand University",51,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pradeep Kumar Majhi,Elected,18-May-09,In office,Orissa,Nabarangpur,Indian National Congress,Male,Graduate,"B.A. (Eco), Advanced diploma in Computer Application, e-commerce; Educated at Panabeda High School Chandahandi, B.J.B. College BBSR, V.D. College Jeypone and NIIT Connought Place, New Delhi",38,9,0,1101,54%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Pradeep Kumar Singh,Elected,18-May-09,In office,Bihar,Araria,Bharatiya Janata Party,Male,Matric,"Bihar School Examination Board, Patna",49,6,0,166,71%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
