MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Jaya Bachchan,Elected,3-Apr-12,In office,Third Term,Information Technology,Uttar Pradesh,,Samajwadi Party,Female,Graduate,"S.S.C., Graduation Educated at St. Joseph's Convent School, Bhopal and Film & Television Institute of India, Pune ",68,108,0,383,75%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),71.5,1.5,349,78%,79.9,1.2,291,82%
Jayanthi Natarajan,Elected,3-Apr-08,02/04/2014,Fourth Term,No,Tamil Nadu,,Indian National Congress,Female,Professional Graduate,"B.A., B.L. Educated at Ethiraj College and Madras Law College ",62,18,3,198,53%,"This MP was a minister from Jul 2011 to 23rd Dec 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",40,1,291,78%,52.3,0.7,339,75%
Jesudasu Seelam,Elected,22-Jun-10,21/06/2016,Second Term,Commerce,Andhra Pradesh,,Indian National Congress,Male,Post Graduate,"B.Sc., M.Sc. (Chemistry) Educated at Andhra Christian College, Guntur and Andhra University, Waltair, Visakhapatnam ",63,87,0,193,88%,"This MP was a minister from Jun, 2013 to May 2014.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",65,1.2,333,78%,48.3,1.2,459,78%
Jharna Das Baidya,Elected,3-Apr-16,In office,Second Term,Social Justice & Empowerment ,Tripura,,Communist Party of India (Marxist),Female,Post Graduate,"B.A. (Hons.), M.A. (Bengali) ; Educated at Tulsi Bati Balika Vidyalaya, Agartala, M.B.B. College, Agartala and University of Calcutta",54,97,0,376,86%,"This MP has been re-elected/nominated. The previous term ended on 2nd Apr, 2016. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",77.1,1.6,392,78%,97,0,376,83%
Jogen Chowdhury,Elected,3-Apr-14,In office,First Term,Human Resource Development,West Bengal,,All India Trinamool Congress,Male,Graduate,"Graduation in Fine Arts, Higher Study in Fine Arts with a French Government Scholarship through Government of India Educated at Government College of Arts and Crafts, Kolkata, West Bengal and Ecole Nationale Superier des Beaux Arts, Paris, France",78,15,0,2,59%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,69.7,1.8,147,74%
Joy Abraham,Elected,2-Jul-12,In office,First Term,Commerce,Kerala,,Kerala Congress (M),Male,Professional Graduate,"B.A., LL.B. Educated at St. Thomas College, Pala and Law Academy, Law College, Thiruvananthapuram",66,19,0,44,75%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.6,1,255,78%,90.6,0.6,353,71%
Jugul Kishore,Elected,5-Jul-10,04/07/2016,First Term,Coal & Steel,Uttar Pradesh,,Bahujan Samaj Party,Male,Inter/ Higher Secondary,"Intermediate, J.L.M.D.J. Inter College, Khairabad, Sitapur (Uttar Pradesh)",58,5,0,161,70%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,71.4,1.6,259,82%
K G Kenye,Elected,3-Apr-16,In office,First Term,Urban Development,Nagaland,,Nagaland Peoples Front,Male,Graduate,"BA, Kohima College, Kohima (NEHU)",56,0,0,11,52%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),15.4,0.2,56,78%,0,0,13,49%
K. C. Tyagi,Elected,7-Feb-13,07/07/2016,First Term,Industry,Bihar,,Janata Dal (United),Male,Graduate,"B.Sc. Educated at Meerut University, Ghaziabad",66,202,1,471,93%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),44.2,0.6,177,78%,59.7,0.1,135,80%
K. K. Ragesh,Elected,23-Apr-15,In office,First Term,Industry,Kerala,,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B.; Educated at Kerala Law Academy, Law College, Thiruvananthapuram",46,65,2,240,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),27.8,0.5,109,78%,28.8,0.3,126,71%
K. Kasturirangan,Nominated,27-Aug-03,08/07/2009,First Term,No,,,Independent,Male,Doctorate,"B. Sc. (Hons.) in Physics, M.Sc. (Physics) with specialization in Electronics, Ph.D. (Astronomy and Astrophysics) Educated at Bombay University, Mumbai and Physical Research Laboratory, Gujarat University, Ahmedabad",76,0,0,0,75%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),1,0.1,4,78%,0.3,0,1,72%
K. Keshava Rao,Elected,10-Apr-14,In office,Second Term,"Food, Consumer Affairs & Public Distribution",Andhra Pradesh,,Telangana Rashtra Samithi,Male,Doctorate,"M.A., Ph.D. Educated at Badruk College, Arts College, Osmania University, Hyderabad ",77,73,0,30,79%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),69.2,1.4,344,78%,61.1,2.7,537,78%
K. Malaisamy,Elected,30-Jun-04,29/06/2010,First Term,No,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"B.A., B.L., M.B.A., M.A., Ph.D. Educated at Alagappa College, Karaikudi, Madras Law College, Chennai and University of Madras, Chennai ",79,29,0,126,98%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,15.6,0.2,76,75%
K. Parasaran,Nominated,29-Jun-12,In office,First Term,Chemicals & Fertilizers,,,Independent,Male,Professional Graduate,"SSLC in 1942 from Hindu High School, Madras, completed graduation in 1949 from Presidency College, Madras and completed degree in Law in 1949 from Law College, Madras.",89,9,0,0,81%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.6,1,255,78%,25.3,0.5,57,72%
K. Rahman Khan,Elected,3-Apr-12,In office,Fourth Term,Home Affairs,Karnataka,,Indian National Congress,Male,Graduate,"Bachelor of Commerce (B.Com.), Fellow Chartered Accountant (FCA) Educated at Mysore University, Mysore ",77,28,0,41,76%,This MP was appointed a minister between Oct 2012 to May 2014.  Participation and attendance details for this MP are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,40,1.2,272,70%
K. Somaprasad,Elected,3-Apr-16,In office,First Term,Health and Family Welfare,Kerala,,Communist Party of India (Marxist),Male,Professional Graduate,"Bachelor of Law from Academy Law College, Kerala University",59,11,0,30,72%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),15.4,0.2,56,78%,13.6,0.1,63,71%
K.B. Shanappa,Elected,3-Apr-06,02/04/2012,First Term,No,Karnataka,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Political Science) Educated at Mysore University, Mysore ",78,12,0,10,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,11.2,1.4,83,70%
K.C. Ramamurthy,Elected,1-Jul-16,In office,First Term,Urban Development,Karnataka,,Indian National Congress,Male,Post Graduate,Master of Arts in Eco. From Bangalore University and M.A. (in Pol Sci.) from University of Mysore,64,3,0,42,89%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,7.7,0.3,50,70%
K.E. Ismail,Elected,2-Jul-06,01/07/2012,First Term,No,Kerala,,Communist Party of India,Male,Inter/ Higher Secondary,SSLC Educated at Kizhakkenchery (Kerala) ,77,1,0,338,32%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),27.8,0.7,199,78%,34.7,0.7,298,71%
K.N. Balagopal,Elected,3-Apr-10,02/04/2016,First Term,Finance,Kerala,,Communist Party of India (Marxist),Male,Professional Post Graduate,"M.Com., LL.B., LL.M. ; Educated at S.N. College, Punalur, M.G. College, Trivendrum, The Law Academy, Trivendrum, Kerala University, Thiruvanathapuram (Kerala)",53,196,1,762,83%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.7,1.3,335,78%,102.9,1.1,500,71%
K.P. Ramalingam,Elected,30-Jun-10,29/06/2016,First Term,Energy,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Graduate,"B.V.Sc. ; Educated at Madras Veterinary College, Chennai, Tamil Nadu",62,98,0,746,85%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,88.2,0.9,450,75%
K.R. Arjunan,Elected,25-Jul-13,In office,First Term,Defence,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"S.S.L.C. Educated at Higher Secondary School, Nilgiris",55,34,0,115,90%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),51.6,0.8,194,78%,76.5,0.6,288,75%
K.T.S. Tulsi,Nominated,25-Feb-14,In office,First Term,"Personnel, Public Grievances, Law and Justice",,,Independent,Male,Graduate,"B.A. (Hons.) Political Science, LL.B. Educated at Government College, Chandigarh and Panjab University, Chandigarh",69,53,0,116,89%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,20.7,0.3,42,72%
K.V. Ramalingam,Elected,30-Jun-10,20/05/2011,First Term,No,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Arulmigu Palani Andavar Art and Science College, Palani, Tamil Nadu",60,5,0,0,65%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),7.1,0.2,53,78%,8.2,0,63,75%
K.V.P. Ramachandra Rao,Elected,2-Jun-14,In office,Third Term,Information Technology,Telangana,,Indian National Congress,Male,Professional Graduate,"M.B.B.S. Educated at Rangaraya Medical College, Kakinada, Andhra University, Andhra Pradesh ",68,29,3,781,83%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,125.4,0.6,583,77%
Kahkashan Perween,Elected,10-Apr-14,In office,First Term,Information Technology,Bihar,,Janata Dal (United),Female,Graduate,"B.A. Educated at Ranchi Women's College, Ranchi",38,122,0,88,93%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,60.5,0.1,98,80%
Kalpataru Das,Elected,3-Apr-14,25/07/2015,First Term,No,Odisha,,Biju Janata Dal,Male,Graduate,"B.A. Educated at B.J.B. College, Bhubaneswar, Odisha",66,11,0,41,82%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),22,0.3,68,78%,23.4,0,83,77%
Kalraj Mishra (RS),Elected,3-Apr-06,21/03/2012,Third Term,No,Uttar Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A. Educated at Kashi Vidyapith, Varanasi ",75,55,3,356,69%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),22.9,0.6,175,78%,20.1,1.3,120,82%
Kamal Akhtar,Elected,5-Jul-04,04/07/2010,First Term,No,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A. (Hons.) in Economics, LL.B. Educated at Jamia Milia Islamia, New Delhi ",45,7,0,225,71%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,8.4,0.4,58,82%
Kanak Lata Singh,Elected,13-Dec-13,04/07/2016,First Term,Rural Development ,Uttar Pradesh,,Samajwadi Party,Female,Post Graduate,"M.A. (Ancient History) Educated at Lucknow University, Lucknow",55,40,0,235,99%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),36,0.6,131,78%,46.1,0.4,114,82%
Kanimozhi,Elected,25-Jul-13,In office,Second Term,External Affairs,Tamil Nadu,,Dravida Munnetra Kazhagam,Female,Post Graduate,M.A. ( Economics),49,112,3,492,57%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,120.7,1.3,587,75%
Kanjibhai Patel,Elected,3-Apr-06,02/04/2012,First Term,No,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.A. (Special) Educated at S.B.Garda College, Navsari, Gujarat ",80,6,0,258,94%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,15.1,0,147,79%
Kanwar Deep Singh,Elected,3-Apr-14,In office,Second Term,Commerce,West Bengal,,All India Trinamool Congress,Male,Graduate,"B.A.,Punjabi University, Patiala (Punjab)",55,14,3,579,90%,"This MP was re-elected/nominated. During his previous term, he was affiliated with JMM; the term ended on 15th Dec, 2010. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",45.4,0.8,163,78%,69.7,1.8,147,74%
Kapil Sibal,Elected,5-Jul-16,In office,Second Term,Commerce,Uttar Pradesh,,Indian National Congress,Male,Professional Post Graduate,"M.A. (History), LL. M.; Educated at St. Stephen`s College, University of Delhi, Delhi and Harward Law School, USA",68,3,0,70,72%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,12.2,0.1,39,82%
Kapila Vatsyayan,Nominated,10-Apr-07,15/02/2012,Second Term,No,,,Independent,Female,Doctorate,"M.A. (English), M.A. (Education) Ph.D. and D. Litt. (Honoris causa) Educated at University of Delhi, University of Michigan, Ann Arbor (U.S.A.) and Banaras Hindu University, Varanasi (U.P.) ",88,7,0,0,89%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),22,0.6,170,78%,9.7,0.1,73,72%
Kaptan Singh Solanki,Elected,4-Aug-09,27/07/2014,Second Term,No,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.Ed. Educated at P.G.B.T. College, Ujjain and Jiwaji University, Gwalior, Madhya Pradesh ",77,24,0,374,93%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),39.4,1,280,78%,46.8,1.4,379,84%
Karan Singh,Elected,28-Jan-12,In office,Fourth Term,External Affairs,Delhi,,Indian National Congress,Male,Doctorate,"M.A., Ph.D. Educated at Doon School, University of Jammu & Kashmir and University of Delhi ",86,29,0,0,88%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,24.8,0,173,94%
Khekiho Zhimomi,Elected,3-Apr-10,26/11/2015,Second Term,Urban Development,Nagaland,,Nagaland People's Front,Male,Graduate,"B.A. (Hons.) Political Science Educated at St. Joseph College, North Bengal University, Darjeeling ",77,15,1,80,47%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),53.9,1.1,309,78%,12.2,1.2,80,49%
Kiranmay Nanda,Elected,3-Apr-12,In office,First Term,"Transport, Tourism and Culture",Uttar Pradesh,,Samajwadi Party,Male,Graduate,"Educated at Calcutta University, Kolkata",72,50,0,324,80%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,71.6,0.8,233,82%
Kishore Kumar Mohanty,Elected,6-Aug-09,03/04/2012,First Term,No,Odisha,,Biju Janata Dal,Male,Professional Graduate,"B.Com., LL.B",58,18,0,73,82%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),20,0.5,158,78%,30.7,0,157,77%
Krishan Lal Balmiki,Elected,4-Apr-06,21/04/2010,First Term,No,Rajasthan,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary Educated under Rajasthan Board of Secondary Education, Jaipur ",74,8,0,44,67%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),8.6,0.2,66,78%,13.5,0.5,133,84%
Kumar Deepak Das,Elected,15-Jun-07,24/07/2013,First Term,No,Assam,,Asom Gana Parishad,Male,Professional Graduate,"B.Sc., LL.B. Educated at M.C. College, Barpeta, Assam and Law College, Gauhati University, Jalukbari, Guwahati, Assam ",58,112,1,330,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),33.8,1,260,78%,36.5,0.2,211,83%
Kunal Kumar Ghosh,Elected,3-Apr-12,In office,First Term,No,West Bengal,,All India Trinamool Congress,Male,Certificate Course,"Certificate in Audio Visual Journalism, Media Management Educated at Annex College of Management and Annex-Cygnus Institute of Management, Kolkata",48,4,0,0,44%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,91.9,2,189,74%
Kusum Rai,Elected,26-Nov-08,25/11/2014,First Term,No,Uttar Pradesh,,Bharatiya Janata Party,Female,Inter/ Higher Secondary,,48,15,0,870,79%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),46.7,1.1,314,78%,43.1,1.7,230,82%
La. Ganesan,Elected,16-Nov-16,In office,First Term,Energy,Madhya Pradesh,,Bharatiya Janata Party,Male,Information not available,Information not available,70,5,0,0,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),3.4,0.2,28,78%,1.8,0,16,84%
Lakshmikanta Rao Voditela,Elected,22-Jun-16,In office,First Term,Petroleum & Natural Gas,Telangana,,Telangana Rashtra Samithi,Male,Graduate,B.Sc. From Osmania University,77,0,0,0,60%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,20.1,0.4,93,77%
Lal Sinh Vadodia,Elected,10-Apr-14,In office,First Term,"Transport, Tourism and Culture",Gujarat,,Bharatiya Janata Party,Male,Professional Graduate,"B.E. (Civil)Educated at Birla Viswakarma Mahavidyalaya, Sardar Patel University, Anand, Gujarat",61,17,0,436,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,19.9,1.9,122,79%
Lalhming Liana,Elected,19-Jul-08,18/07/2014,Second Term,No,Mizoram,,Mizo National Front,Male,Graduate,"B.A. Educated at Aizawl College, North Eastern Hill University, Aizawl ",61,1,0,26,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),41.5,1.1,297,78%,1,0,26,84%
Lalit Kishore Chaturvedi,Elected,5-Jul-04,04/07/2010,First Term,No,Rajasthan,,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics), Rajasthan University, Visharad, Hindi Sahitya Sammelan, Allahabad ",85,16,0,293,86%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,15.2,0.5,151,84%
M P Veerendra Kumar,Elected,3-Apr-16,In office,First Term,Commerce,Kerala,,Janata Dal (United),Male,Professional Post Graduate,"M.A. (Phil), M.B.A.; educated at Zamorin College, Kozhikode, Vivekananda College, Madras and Ciincinatti University (U.S.A.)",79,1,0,91,39%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),15.4,0.2,56,78%,13.6,0.1,63,71%
M. Rajasekara Murthy,Elected,3-Apr-06,05/12/2010,Third Term,No,Karnataka,,Janata Dal (Secular),Male,Professional Graduate,"B.A., B.Com., LL.B. Educated at Mysore University and Lucknow University ",94,0,0,0,70%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),13.6,0.4,112,78%,5.6,1,49,70%
M. Rama Jois,Elected,26-Jun-08,25/06/2014,First Term,No,Karnataka,,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., B.L. Educated at Central College and Government Law College, Bangalore, University of Mysore Conferred Honorary Doctor of Laws by Kuvempu University, Karnataka ",85,62,8,16,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40.2,1,291,78%,25.2,1.9,166,70%
M. Venkaiah Naidu,Elected,5-Jul-16,In office,Fourth Term,No,Rajasthan,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., B.L. Educated at V.R. High School, Nellore, V.R. College, Nellore and Law College, Andhra University, Visakhapatnam ",67,86,0,34,75%,"This MP was appointed a minister in May 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 21st Feb, 2014. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",40.3,0.9,257,78%,27.6,1,160,84%
M.A.M. Ramaswamy,Elected,1-Jul-04,30/06/2010,First Term,No,Karnataka,,Janata Dal (Secular),Male,Doctorate,"B.A., D. Litt. (Honoris Causa) Educated at Vivekananda College, Chennai; conferrred D. Litt. (Honoris Causa) degree by Annamalai University, Chidambaram for outstanding contribution in the field of sports in 1979, Alagappa University, Karaikudi in 1996, P",85,0,0,0,6%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,3.5,1,36,70%
M.C. Mary Kom,Nominated,26-Apr-16,In office,First Term,"Food, Consumer Affairs & Public Distribution",,,Independent,Female,Information not available,Information not available,34,2,0,0,62%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),15.3,0.2,55,78%,7,0.1,17,72%
M.J. Akbar,Elected,30-Jun-16,In office,Second Term,No,Madhya Pradesh,,Bharatiya Janata Party,Male,Graduate,Graduate,66,3,0,0,94%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",13.1,0.2,55,78%,5.9,0,58,84%
M.P. Achuthan,Elected,22-Apr-09,23/04/2015,First Term,No,Kerala,,Communist Party of India,Male,Graduate,"B.Com. Educated at Government College, Madappally ",68,111,0,836,86%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.7,1.3,345,78%,96.6,1,525,71%
M.S. Gill,Elected,10-Apr-10,09/04/2016,Second Term,Chemicals & Fertilizers,Punjab,,Indian National Congress,Male,Doctorate,"Senior Cambridge, B.A. (Honours), M.A., Ph.D., Diploma in Development Studies, University of Cambridge Doctor of Science (Honoris Causa) : Punjab Agriculture University, Panjab University, Haryana Agriculture University, Madras University and Guwahati Uni",80,51,0,0,97%,"This MP was a minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",61.7,1.3,335,78%,65.4,1,336,80%
M.S. Swaminathan,Nominated,10-Apr-07,09/04/2013,First Term,No,,,Independent,Male,Doctorate,"B.Sc., Ph.D. Educated at Travancore University, Coimbatore Agricultural College, Madras University, School of Agriculture, University of Cambridge, U.K. Recepient of 58 Honorary Doctorate degrees from Universities around the world ",91,14,1,11,76%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),33.4,1,250,78%,14.9,0.4,88,72%
M.V. Mysura Reddy,Elected,3-Apr-06,02/04/2012,First Term,No,Andhra Pradesh,,Telugu Desam Party,Male,Professional Graduate,"M.B.B.S. Educated at Government Medical College, Kurnool (Andhra Pradesh",68,68,1,494,93%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,27.1,1.3,342,78%
M.V. Rajeev Gowda,Elected,26-Jun-14,In office,First Term,Human Resource Development,Karnataka,,Indian National Congress,Male,Doctorate,"Ph.D in Public Policy & Management from Wharton School of Pennsylvania, USA",53,47,2,304,95%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.2,0.8,163,78%,26,0.7,189,70%
Mabel Rebello,Elected,3-Apr-06,02/04/2012,Second Term,No,Jharkhand,,Indian National Congress,Female,Post Graduate,"M.A., D.S.W. (Diploma in Social Work) Educated at St. Joseph's School, St. Agnes College, Roshini Nilaya, Bangalore and Bakratulla University, Bhopal ",66,26,3,249,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,25.1,0.6,246,79%
Madhusudan Devram Mistry,Elected,10-Apr-14,In office,First Term,Defence,Gujarat,,Indian National Congress,Male,Post Graduate,"M.A., Diploma on Development Studies (Completed one year of two years course), Certificate Course in Advocacy Studies, Course for Trade Union Officer, Indian Institute of Management (IIM, Ahmedabad)",72,74,0,35,86%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,19.9,1.9,122,79%
Mahendra Mohan,Elected,3-Apr-06,02/04/2012,First Term,No,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B. Com. Educated at G.N.K. Inter College, B.N.S.D. Inter College and D.A.V. College, Kanpur (Uttar Pradesh)",76,44,10,370,76%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,20.5,1.3,123,82%
Mahendra Prasad,Elected,3-Apr-12,In office,Sixth Term,Finance,Bihar,,Janata Dal (United),Male,Doctorate,"Graduation with Honours in Economics, Educated at Middle School and High School, Okari and Patna College, Patna University ",77,0,0,1,82%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,113.9,0.1,446,80%
Mahendra Sahni,Elected,3-Apr-06,06/11/2009,First Term,No,Bihar,,Janata Dal (United),Male,Inter/ Higher Secondary,"Intermediate Educated at Bihar Vidyalaya Pariksha Samiti, Patna and Bihar University, Muzaffarpur",76,2,0,0,93%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),4.3,0.1,25,78%,5.1,0,29,80%
Mahendra Singh Mahra,Elected,3-Apr-12,In office,First Term,Rural Development ,Uttarakhand,,Indian National Congress,Male,Graduate,B.A. Educated at Agra University,77,47,0,650,92%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,97.3,2.1,491,91%
Mahesh Poddar,Elected,8-Jul-16,In office,First Term,Urban Development,Jharkhand,,Bharatiya Janata Party,Male,Professional Graduate,Bachelor of Engineering (Mechanical) from Bangalore University,67,2,0,39,100%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,4.2,0,73,79%
Mahmood A. Madani,Elected,3-Apr-06,02/04/2012,First Term,No,Uttar Pradesh,,Rashtriya Lok Dal,Male,Graduate,"Fazil (Graduate) Educated at Darul Uloom, Deoband, Distt. Saharanpur (Uttar Pradesh) ",53,3,0,43,40%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,20.5,1.3,123,82%
Majeed Memon,Elected,3-Apr-14,In office,First Term,Home Affairs,Maharashtra,,Nationalist Congress Party,Male,Graduate,"B.A. (Economics and Political Science), LL.B. Educated at R.D. National College and Government Law College, Mumbai",71,40,0,229,88%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,42.6,2.6,272,76%
Mangala Kisan,Elected,3-Apr-08,02/04/2014,First Term,No,Odisha,,Biju Janata Dal,Male,Graduate,"B.A. Educated at Bargaon High School, Bargoan, Distt. Sundargarh, B.J.B. College, Bhubaneswar, Utkal University and Sambalpur University ",69,46,0,195,86%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,55.1,0.5,259,77%
Mani Shankar Aiyar,Nominated,22-Mar-10,21/03/2016,First Term,Petroleum & Natural Gas ,,,Indian National Congress,Male,Post Graduate,"B.A.(Eco), M.A. (Eco) ; Educated at Doon School, Dehradun, St. Stephens' College, Delhi Univ., Trinity Hall, Cambridge University, U.K. D.Sc. (Honoris Causa) by ISM, Dhanbad, Hon. Fellow, Trinity Hall, Cambridge University, U.K., 2010",75,43,0,176,77%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.7,1.3,335,78%,28.8,0.5,96,72%
Manish Gupta,Elected,14-Mar-17,In office,First Term,No,West Bengal,,All India Trinamool Congress,Male,Information not available,Information not available,74,0,0,0,N/A, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),0.1,0,2,N/A,0.3,0,2,N/A
Manmohan Singh,Elected,15-Jun-13,In office,Fifth Term,Finance,Assam,,Indian National Congress,Male,Doctorate,"M.A. (Economics), Panjab University, Chandigarh, First Class with first position in the University, Economics Tripos (First Class Honours), University of Cambridge, U.K., D.Phil, Nuffield College, University of Oxford, U.K. ",84,2,0,0,96%,This MP was a minister till 16 May 2014. Participation and attendance details for this MP are available from 7 June 2014. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,73.6,0.6,369,83%
